candidate_id,rank,score,reasoning
CAND_0055905,1,0.9865333338578542,"[Elite Match] Recruiter Favorite. Highlights: End-to-end search and vector database systems, Search quality evaluation and ranking pipelines, LLM adaptation and fine-tuning expertise, Distributed systems and inference optimization, and Natural language processing and search expertise. Notes: Profile only 57% complete; No GitHub profile linked. — Short notice (30 days) aligns with the JD's desire for quick availability; The JD's core distinction is between researchers who publish and engineers who ship; this candidate clearly lands on the shipper side of that divide. Position #1 — top 0.0% of 100,000 candidates | Score breakdown: Skills=40/40, Exp=25/25, Retrieval=15/15, Signals=9/10, Fit=10/10 | Advantage: skills (+0.87 above mean). Recommendation: Interview Immediately (87% response rate; open to work; 30-day notice)."
CAND_0046064,2,0.9820333324273428,"[Elite Match] A 9yr Recruiter Favorite for the founding-team AI role. Strong areas: Full-stack retrieval systems (vector DBs + dense retrieval), Ranking evaluation and learning-to-rank experience, LLM fine-tuning experience, Scalable ML systems and model serving, and Text processing and information retrieval experience. Concern: Located outside preferred Indian tech hubs (coimbatore, tamil nadu). — Profile depth (9 years) aligns with the JD's 5-9 year senior engineer target range; Signals indicate comfort with the JD's described founding-team environment requiring high autonomy. #2 in ranking — top 0.0% of 100,000 candidates | Score breakdown: Skills=40/40, Exp=25/25, Retrieval=15/15, Signals=8/10, Fit=10/10 | Differentiator: skills leads pool over mean (+0.87). Recommended: Interview Immediately (78% response rate; open to work; 30-day notice)."
CAND_0048473,3,0.9734999988079072,"[Elite Match] Candidate: Production Veteran. Best action for this candidate: Suggested action: Priority Screen. Rationale: Strengths: End-to-end search and vector database systems, Learning-to-rank and retrieval evaluation expertise, LLM adaptation and fine-tuning expertise, Distributed systems and inference optimization, and Natural language processing and search expertise. Watch items: Extended notice period (120 days); Not marked as open to work. — The JD stresses shipped systems over research — this candidate's production background matches that preference; The JD's 'vibe check' section stresses async communication and fast iteration — behavioral signals here are consistent with that environment. Ranked #3 — top 0.0% of 100,000 candidates | Score breakdown: Skills=40/40, Exp=25/25, Retrieval=15/15, Signals=7/10, Fit=10/10 | Strengths vs pool: strongest on skills (+0.87 above pool mean)."
CAND_0008425,4,0.9702166732947032,"[Elite Match] Candidate: Production Veteran. Strengths: End-to-end search and vector database systems, Learning-to-rank and retrieval evaluation expertise, LLM adaptation and fine-tuning expertise, Distributed systems and inference optimization, and Natural language processing and search expertise. Watch items: Extended notice period (90 days); Profile only 57% complete. — Profile depth (8 years) aligns with the JD's 5-9 year senior engineer target range; Behavioral profile suggests fit for the high-autonomy, founding-team role described in the JD. Ranked #4 — top 0.0% of 100,000 candidates | Score breakdown: Skills=40/40, Exp=24/25, Retrieval=15/15, Signals=8/10, Fit=10/10 | Strengths vs pool: strongest on skills (+0.87). Suggested action: Priority Screen (open to work)."
CAND_0077798,5,0.9689000003337861,"[Elite Match] Production Veteran with 8yr of relevant experience for this founding-team role. Key assets: End-to-end retrieval and vector database expertise, IR evaluation (NDCG/MRR) and ranking optimization, LLM adaptation and fine-tuning expertise, Distributed systems and inference optimization, and Natural language processing and search expertise. Flaggeds: Moderate notice period (60 days); Profile only 49% complete. — Production engineering background resonates with the JD's focus on real-world system delivery; Founding-team dynamic described in the JD requires someone who can toggle between deep technical work and pragmatic shipping; this candidate fits that profile. Slot #5 — top 0.0% of 100,000 candidates | Score breakdown: Skills=40/40, Exp=25/25, Retrieval=15/15, Signals=7/10, Fit=10/10 | Edge: skills (+0.87 above mean). Next step: Priority Screen (open to work)."
CAND_0088025,6,0.9600333324273428,"[Elite Match] Candidate: Recruiter Favorite. Suggested approach: Suggested action: Interview Immediately (83% response rate; open to work). Rationale: Strengths: Full-stack retrieval systems (vector DBs + dense retrieval), Learning-to-rank and retrieval evaluation expertise, LLM fine-tuning experience, Text processing and information retrieval experience, and Strong Python proficiency. Watch items: Extended notice period (90 days); Located outside preferred Indian tech hubs (jaipur, rajasthan). — Profile depth (9 years) aligns with the JD's 5-9 year senior engineer target range; The JD explicitly emphasizes 'scrappy product-engineering attitude' — this candidate's trajectory demonstrates exactly that balance. Ranked #6 — top 0.0% of 100,000 candidates | Score breakdown: Skills=37/40, Exp=25/25, Retrieval=15/15, Signals=9/10, Fit=10/10 | Strengths vs pool: retrieval/ranking leads pool over mean (+0.85)."
CAND_0039754,7,0.9598333338101704,"[Elite Match] Profile: Production Veteran. Key assets: Vector database and dense retrieval experience, IR evaluation (NDCG/MRR) and ranking optimization, LLM adaptation and fine-tuning expertise, Natural language processing and search expertise, and Python-based ML development expertise. Flagged: Located outside preferred Indian tech hubs (indore, madhya pradesh). — Short notice (30 days) aligns with the JD's desire for quick availability; Practical deployment experience aligns with the JD's stated need for engineering that ships, not just researches. Slot #7 — top 0.0% of 100,000 candidates | Score breakdown: Skills=37/40, Exp=25/25, Retrieval=15/15, Signals=9/10, Fit=10/10 | Edge: strongest on retrieval/ranking (+0.85 above pool mean). Next step: Interview Immediately (81% response rate; open to work; 30-day notice)."
CAND_0083612,8,0.9536833389600118,"[Elite Match] Passive Expert: 8yr, product-company trajectory, strong for this founding-team AI role. Strengths: Production retrieval pipelines and vector search, Learning-to-rank and retrieval evaluation expertise, LLM fine-tuning experience, Scalable ML systems and model serving, and Text processing and information retrieval experience. Watch items: Moderate notice period (60 days); Not marked as open to work. — Profile signals match the JD's preference for founding-team, high-autonomy settings. Ranked #8 — top 0.0% of 100,000 candidates | Score breakdown: Skills=40/40, Exp=24/25, Retrieval=15/15, Signals=6/10, Fit=10/10 | Strengths vs pool: strongest on skills (+0.87). Suggested action: Priority Screen."
CAND_0064326,9,0.9520999964475632,"[Elite Match] Recruiter Favorite.  Recommended: Interview Immediately (94% response rate; open to work). Rationale: Strong areas: Vector database and dense retrieval experience, Ranking evaluation and learning-to-rank experience, Large language model fine-tuning, NLP and information retrieval background, and Production Python engineering skills. Concerns: Moderate notice period (45 days); Profile only 54% complete. — Profile depth (8 years) aligns with the JD's 5-9 year senior engineer target range; Indian tech hub location fits the JD's geographic scope; Engagement signals point to a strong fit for the JD's high-autonomy, founding-team environment. #9 in ranking — top 0.0% of 100,000 candidates | Score breakdown: Skills=37/40, Exp=24/25, Retrieval=15/15, Signals=9/10, Fit=10/10 | Differentiator: retrieval/ranking (+0.85 above mean)."
CAND_0081948,10,0.9459916724363963,"[Elite Match] Candidate: Production Veteran. Strengths: Full-stack retrieval systems (vector DBs + dense retrieval), Learning-to-rank and retrieval evaluation expertise, LLM fine-tuning experience, Scalable ML systems and model serving, and Text processing and information retrieval experience. Watch items: Not marked as open to work; Profile only 45% complete. — Profile depth (7 years) aligns with the JD's 5-9 year senior engineer target range; Indian tech hub location fits the JD's geographic scope; The JD explicitly emphasizes 'scrappy product-engineering attitude' — this candidate's trajectory demonstrates exactly that balance. Ranked #10 — top 0.0% of 100,000 candidates | Score breakdown: Skills=40/40, Exp=23/25, Retrieval=15/15, Signals=7/10, Fit=10/10 | Strengths vs pool: skills leads pool over mean (+0.87). Suggested action: Priority Screen (30-day notice)."
